table_2025-11-20_14-28-03
SuperWEB2(tm),,,,,,,,,,,
,,,,,,,,,,,
housedhold2022ReadOnly,,,,,,,,,,,
Scotland's Census 2022 - National Records of Scotland Table UV402 - Accommodation type - Households All occupied households,,,,,,,,,,,
Intermediate Zone - Data Zone 2011 by Type of accomodation,,,,,,,,,,,
Counting: Households,,,,,,,,,,,
,,,,,,,,,,,
Filters:,,,,,,,,,,,
Default Summation,Households,,,,,,,,,,
Percentage: Row,,,,,,,,,,,
,,,,,,,,,,,
Type of accomodation,All occupied households,Whole house or bungalow: Total,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced (including end-terrace),"Flat, maisonette or apartment: Total","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building",Caravan or other mobile or temporary structure,
Intermediate Zone - Data Zone 2011,,,,,,,,,,,
S01006506,100,48.0651731,27.0875764,13.8492872,7.5356415,52.1384929,43.3808554,6.5173116,1.4256619,0.203666,
S01006507,100,80.0546448,22.9508197,18.0327869,39.0710383,19.6721311,19.6721311,0,0,0.273224,
S01006508,100,27.739726,11.3013699,8.5616438,8.9041096,72.260274,69.8630137,3.4246575,0,0,
S01006509,100,68.5185185,13.3333333,27.037037,25.9259259,32.5925926,32.5925926,0,0,0,
S01006510,100,61.2794613,15.8249158,37.7104377,8.7542088,38.7205387,38.3838384,1.6835017,0,0,
S01006511,100,94.1935484,29.6774194,57.7419355,6.7741935,5.8064516,4.516129,0.9677419,0.3225806,0,
S01006512,100,83.5294118,65.8823529,11.372549,6.2745098,1.5686275,0.3921569,0.3921569,0,14.9019608,
S01006513,100,81.5347722,34.7721823,38.3693046,8.6330935,17.9856115,17.9856115,0,0,0,
S01006514,100,94.9468085,73.4042553,19.9468085,0.7978723,5.0531915,4.2553191,0.7978723,0,0,
S01006515,100,95.6989247,69.5340502,23.297491,1.7921147,3.2258065,2.8673835,0.3584229,0,0.3584229,
S01006516,100,95.9183673,59.6938776,25.5102041,10.7142857,4.0816327,3.5714286,0.5102041,0,0,
S01006517,100,85.8002407,45.0060168,23.465704,17.2081829,14.1997593,13.2370638,0.7220217,0.2406739,0,
S01006518,100,96,84.8,10.4,0.8,4,2,1.2,0.4,0,
S01006519,100,98.2876712,88.6986301,6.1643836,3.4246575,1.7123288,1.369863,0.3424658,0,0,
S01006520,100,95.6709957,90.04329,3.030303,1.2987013,4.3290043,4.3290043,0,0,0,
S01006521,100,90.2777778,56.5972222,19.7916667,13.8888889,9.7222222,7.6388889,1.7361111,0,0,
S01006522,100,96.2686567,47.0149254,44.4029851,5.5970149,2.9850746,1.119403,2.9850746,0,0,
S01006523,100,59.2682927,20.4878049,32.6829268,6.5853659,41.4634146,37.0731707,4.1463415,0.4878049,0,
S01006524,100,60,41.8181818,15.0649351,4.1558442,40,38.1818182,1.2987013,0.2597403,0,
S01006525,100,78.746594,49.5912807,15.5313351,14.4414169,20.4359673,18.8010899,1.3623978,0.2724796,0,
S01006526,100,51.2643678,3.4482759,17.7011494,30.8045977,48.7356322,48.2758621,0.4597701,0,0,
S01006527,100,86.7647059,11.7647059,43.8235294,31.1764706,12.6470588,12.6470588,0.2941176,0,0,
