Council Area,All occupied households,Whole house or bungalow: Total,"Flat, maisonette or apartment: Total",Caravan or other mobile or temporary structure
Clackmannanshire,24072,18101,5958,13
Dumfries and Galloway,70633,60861,9604,165
East Ayrshire,55436,43785,11627,22
East Lothian,48792,37339,11405,48
East Renfrewshire,39732,30622,9082,29
Na h-Eileanan Siar,12717,11960,728,25
Falkirk,72490,52057,20358,75
Highland,111727,95498,15786,444
Inverclyde,37405,21196,16190,19
Midlothian,41009,32324,8391,294
Moray,43116,37409,5490,217
North Ayrshire,64185,49041,15004,137
Orkney Islands,10631,9916,685,28
Scottish Borders,55583,42144,13370,71
Shetland Islands,10576,9574,972,30
South Ayrshire,52491,39916,12537,38
South Lanarkshire,147810,107670,39941,199
Stirling,40349,30058,10234,57
Aberdeen City,109450,54441,54916,93
Aberdeenshire,115769,102079,13424,262
Argyll and Bute,41894,29812,11902,177
City of Edinburgh,238944,87916,150956,75
Renfrewshire,86721,54099,32605,17
West Dunbartonshire,42596,23078,19495,23
West Lothian,79836,63683,16107,45
Angus,54258,41723,12201,334
Dundee City,69857,36833,33008,16
East Dunbartonshire,46461,37638,8798,22
Fife,169573,128094,41210,272
Perth and Kinross,69989,53461,16294,231
Glasgow City,293802,92058,201222,516
North Lanarkshire,151371,108388,42893,90
