Council_Area,2015,2016,2017,2018,2019,2020,2021,2022,2023,Change_kWh,Change_Pct
Inverclyde,3899.0590936530334,3744.299075627841,3644.518462705709,3477.918978641133,3394.327285172382,3518.6538520776494,3282.315532877321,2919.6326426875153,2964.52976012568,-934.5293335273536,-23.968073093547087
Aberdeen City,3775.499441091536,3596.1124609580897,3475.722449820135,3378.2842653962534,3297.8700223542205,3422.9975409862427,3222.2013182515043,2934.1696367654604,2942.559976566263,-832.9394645252733,-22.06170276334253
West Dunbartonshire,3454.94139267682,3338.3027933772028,3243.639394521894,3109.7217415116734,3076.1865583472495,3195.819454929524,2972.2606710292002,2662.979040052017,2700.869611407372,-754.0717812694484,-21.825892122737528
Dundee City,3944.6020447837004,3816.293203186618,3722.198612197482,3598.2509255407854,3488.5534987121923,3601.2883115877094,3374.8427925396322,3118.0698200257552,3086.8962952386946,-857.7057495450058,-21.74378403213644
Renfrewshire,3657.6066858279196,3515.2973525137036,3435.121533708991,3292.941906045781,3239.925850665462,3401.1393685867693,3143.0500252552524,2848.760544967528,2868.677838049536,-788.9288477783834,-21.569537556764526
Angus,4565.331944506369,4404.843501911668,4290.659741391989,4154.990008996618,4055.4147018424123,4209.159386262931,3939.660993115139,3608.1562250800066,3590.6445650725836,-974.6873794337853,-21.34975925697281
North Lanarkshire,3763.718599108299,3634.1496050280603,3530.338050334088,3408.1578650791344,3377.8385207762117,3518.926793096761,3289.3199352740457,2922.877162297141,2969.738205465324,-793.9803936429748,-21.095636475880127
Glasgow City,3410.743716290411,3284.507016479258,3206.9811036737065,3080.1459406611393,3018.879235339631,3131.775849720912,2919.329899551085,2669.90032669399,2692.7297768188973,-718.0139394715138,-21.051535946313763
Aberdeenshire,5202.034140837575,4997.394121920868,4886.873664441298,4711.5846948831695,4622.15642442888,4884.119538051101,4539.854979186511,4107.255884461715,4115.4017669406985,-1086.6323738968767,-20.88860519708006
South Lanarkshire,4202.303493840207,4051.0368979618574,3988.0934897688594,3819.254721830681,3774.2256925136303,3945.8617729864177,3670.184352509063,3295.297262679603,3337.0644278296418,-865.2390660105652,-20.589637737465758
Falkirk,3885.2015262725045,3735.8991074552027,3666.2402622415234,3542.201386776862,3529.5968453266873,3670.063992967831,3420.016919484775,3060.7508318257346,3090.4291338008875,-794.772392471617,-20.45640070655816
North Ayrshire,3752.3203105264943,3615.040357144822,3570.4170952793834,3444.474260803422,3417.0519201368793,3543.2325472397497,3316.450091558828,2996.8697760528003,3005.2055017927555,-747.1148087337388,-19.910741805219445
West Lothian,3914.999262686296,3777.610789970326,3694.417060628132,3583.171567254933,3562.8724262058126,3735.843548948441,3480.2926318470977,3103.7489932018952,3151.5258476481195,-763.4734150381764,-19.501240327547738
