Council_Area,DataZone,Total_cons_kwh,Num_meters,Mean_Consumption_kWh,Year
City of Edinburgh,S01014431,1400114.4,310,4516.498064516129,2015
City of Edinburgh,S01014431,1314244.7000000002,309,4253.219093851133,2016
City of Edinburgh,S01014431,1336345.9,312,4283.159935897435,2017
City of Edinburgh,S01014431,1238930.9000000001,309,4009.485113268609,2018
City of Edinburgh,S01014431,1272217.9,304,4184.927302631579,2019
City of Edinburgh,S01014431,1314704.6,309,4254.707443365696,2020
City of Edinburgh,S01014431,1232274.4,308,4000.8909090909087,2021
City of Edinburgh,S01014431,1039325.6410000001,309,3363.5134012944986,2022
City of Edinburgh,S01014431,1114522.495,308,3618.5795292207795,2023
City of Edinburgh,S01014432,1116650.0,296,3772.4662162162163,2015
City of Edinburgh,S01014432,1038287.8,293,3543.644368600683,2016
City of Edinburgh,S01014432,1124057.4,298,3772.004697986577,2017
City of Edinburgh,S01014432,1084074.6,297,3650.082828282829,2018
City of Edinburgh,S01014432,1027943.2,301,3415.093687707641,2019
City of Edinburgh,S01014432,1164422.7,299,3894.390301003344,2020
City of Edinburgh,S01014432,1039485.488,301,3453.4401594684387,2021
City of Edinburgh,S01014432,915367.12,298,3071.701744966443,2022
City of Edinburgh,S01014432,946576.9940000001,300,3155.2566466666667,2023
City of Edinburgh,S01014433,921548.2,188,4901.852127659574,2015
City of Edinburgh,S01014433,872219.9,187,4664.277540106952,2016
City of Edinburgh,S01014433,853316.0,187,4563.187165775401,2017
City of Edinburgh,S01014433,848212.6,189,4487.897354497354,2018
City of Edinburgh,S01014433,836995.7,188,4452.104787234042,2019
City of Edinburgh,S01014433,801021.8,180,4450.1211111111115,2020
City of Edinburgh,S01014433,866427.4829999999,184,4708.845016304347,2021
City of Edinburgh,S01014433,806996.816,187,4315.490994652407,2022
City of Edinburgh,S01014433,819382.208,186,4405.280688172043,2023
City of Edinburgh,S01014434,774498.7000000001,190,4076.3089473684213,2015
City of Edinburgh,S01014434,708321.0,188,3767.6648936170213,2016
City of Edinburgh,S01014434,692792.6,187,3704.7732620320853,2017
City of Edinburgh,S01014434,679024.5,189,3592.722222222222,2018
City of Edinburgh,S01014434,710188.2,189,3757.6095238095236,2019
City of Edinburgh,S01014434,711556.4,186,3825.5720430107526,2020
City of Edinburgh,S01014434,651737.7000000001,186,3503.9661290322583,2021
City of Edinburgh,S01014434,573153.635,188,3048.6895478723404,2022
City of Edinburgh,S01014434,593526.48,186,3191.0025806451613,2023
City of Edinburgh,S01014435,1525543.3002075194,421,3623.6182902791434,2015
City of Edinburgh,S01014435,1449066.7,415,3491.726987951807,2016
City of Edinburgh,S01014435,1420440.4,412,3447.6708737864074,2017
City of Edinburgh,S01014435,1402593.5999999999,414,3387.907246376811,2018
City of Edinburgh,S01014435,1419072.0,411,3452.7299270072995,2019
City of Edinburgh,S01014435,1470953.6,412,3570.27572815534,2020
City of Edinburgh,S01014435,1343708.6,411,3269.36399026764,2021
City of Edinburgh,S01014435,1170474.511,407,2875.8587493857494,2022
City of Edinburgh,S01014435,1219304.181,414,2945.1791811594208,2023
City of Edinburgh,S01014436,1253494.4,239,5244.746443514644,2015
City of Edinburgh,S01014436,1218939.0,239,5100.163179916318,2016
City of Edinburgh,S01014436,1199139.2,238,5038.4,2017
City of Edinburgh,S01014436,1154292.6,238,4849.968907563026,2018
City of Edinburgh,S01014436,1152067.1,237,4861.042616033756,2019
City of Edinburgh,S01014436,1254904.4,241,5207.072199170124,2020
City of Edinburgh,S01014436,1117148.644,233,4794.629373390559,2021
City of Edinburgh,S01014436,1034835.3319999999,234,4422.373213675213,2022
City of Edinburgh,S01014436,1052369.618,240,4384.873408333334,2023
City of Edinburgh,S01014437,1438661.5,258,5576.207364341085,2015
City of Edinburgh,S01014437,1370446.8,263,5210.82433460076,2016
City of Edinburgh,S01014437,1394910.6,264,5283.7522727272735,2017
City of Edinburgh,S01014437,1398585.2999999998,266,5257.83947368421,2018
City of Edinburgh,S01014437,1400746.9,266,5265.965789473684,2019
City of Edinburgh,S01014437,1475720.4000000001,264,5589.85,2020
City of Edinburgh,S01014437,1404437.0,265,5299.762264150943,2021
City of Edinburgh,S01014437,1307472.0,262,4990.3511450381675,2022
City of Edinburgh,S01014437,1275668.7280000001,264,4832.078515151516,2023
City of Edinburgh,S01014438,219340.30000000002,42,5222.388095238096,2015
City of Edinburgh,S01014438,258004.40000000002,42,6142.961904761905,2016
City of Edinburgh,S01014438,238034.90000000002,40,5950.8725,2017
City of Edinburgh,S01014438,250390.8,46,5443.278260869565,2018
City of Edinburgh,S01014438,617850.9,128,4826.96015625,2019
City of Edinburgh,S01014438,772087.4,148,5216.806756756757,2020
City of Edinburgh,S01014438,955145.7,164,5824.059146341463,2021
City of Edinburgh,S01014438,946941.427,178,5319.895657303371,2022
City of Edinburgh,S01014438,1036236.2710000002,177,5854.442209039549,2023
City of Edinburgh,S01014439,1575748.2000000002,326,4833.583435582823,2015
City of Edinburgh,S01014439,1508871.8,325,4642.682461538462,2016
City of Edinburgh,S01014439,1499174.5999999999,324,4627.0820987654315,2017
City of Edinburgh,S01014439,1445689.4,324,4462.004320987654,2018
City of Edinburgh,S01014439,1475149.8,325,4538.922461538462,2019
City of Edinburgh,S01014439,1550925.0,325,4772.076923076923,2020
City of Edinburgh,S01014439,1447490.2,326,4440.153987730061,2021
City of Edinburgh,S01014439,1297453.099,326,3979.917481595092,2022
City of Edinburgh,S01014439,1382515.1400000001,321,4306.900747663552,2023
City of Edinburgh,S01014440,397987.5,84,4737.946428571428,2015
City of Edinburgh,S01014440,389523.30000000005,83,4693.051807228916,2016
City of Edinburgh,S01014440,384537.1,84,4577.822619047619,2017
City of Edinburgh,S01014440,623411.2,140,4452.937142857142,2018
City of Edinburgh,S01014440,847105.7,234,3620.109829059829,2019
City of Edinburgh,S01014440,957670.9,272,3520.8488970588237,2020
City of Edinburgh,S01014440,1018176.1,297,3428.2023569023568,2021
City of Edinburgh,S01014440,947435.8,297,3190.019528619529,2022
City of Edinburgh,S01014440,944883.336,299,3160.1449364548494,2023
City of Edinburgh,S01014441,1024439.2999999999,170,6026.113529411764,2015
City of Edinburgh,S01014441,1048053.5,182,5758.535714285715,2016
City of Edinburgh,S01014441,1110408.2,194,5723.753608247423,2017
City of Edinburgh,S01014441,1153831.5,230,5016.658695652174,2018
City of Edinburgh,S01014441,1205491.4,236,5108.014406779661,2019
City of Edinburgh,S01014441,1362746.4,232,5873.906896551724,2020
City of Edinburgh,S01014441,1225748.0890000002,234,5238.239696581198,2021
City of Edinburgh,S01014441,1091694.0,234,4665.358974358975,2022
City of Edinburgh,S01014441,1025285.7,225,4556.825333333333,2023
City of Edinburgh,S01014442,808757.1999511719,225,3594.4764442274304,2015
City of Edinburgh,S01014442,810428.9000000001,225,3601.906222222223,2016
City of Edinburgh,S01014442,784945.4,226,3473.2097345132743,2017
City of Edinburgh,S01014442,765132.8999999999,226,3385.543805309734,2018
City of Edinburgh,S01014442,758668.6000000001,225,3371.860444444445,2019
City of Edinburgh,S01014442,762827.5,226,3375.342920353982,2020
City of Edinburgh,S01014442,746551.5,225,3318.0066666666667,2021
City of Edinburgh,S01014442,682125.0140000001,221,3086.5385248868783,2022
