Datazone 2011,All households,Unshared dwelling: Total,Unshared dwelling: Whole house or bungalow,Unshared dwelling: Whole house or bungalow: Detached,Unshared dwelling: Whole house or bungalow: Semi-detached,Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace),"Unshared dwelling: Flat, maisonette or apartment","Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement","Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Unshared dwelling: Flat, maisonette or apartment: In a commercial building",Unshared dwelling: Caravan or other mobile or temporary structure,Shared dwelling
S01006506,424,424,191,100,58,33,232,193,36,3,1,0
S01006507,364,364,287,90,59,138,76,75,1,0,1,0
S01006508,340,340,104,44,22,38,235,225,10,0,1,0
S01006509,274,274,185,32,77,76,89,88,1,0,0,0
S01006510,256,256,176,36,103,37,80,76,3,1,0,0
S01006511,315,315,296,89,187,20,19,17,2,0,0,0
S01006512,170,170,165,118,32,15,3,2,1,0,2,0
S01006513,230,230,201,41,145,15,28,28,0,0,1,0
S01006514,339,339,328,243,80,5,11,11,0,0,0,0
S01006515,271,271,258,184,67,7,13,11,2,0,0,0
S01006516,185,185,173,114,49,10,12,3,8,1,0,0
S01006517,403,403,374,269,67,38,27,27,0,0,2,0
S01006518,247,247,234,205,26,3,13,6,4,3,0,0
S01006519,281,281,274,250,18,6,7,5,2,0,0,0
S01006520,222,222,218,209,6,3,4,4,0,0,0,0
S01006521,243,243,218,139,40,39,25,19,6,0,0,0
S01006522,218,218,204,93,109,2,14,8,4,2,0,0
S01006523,427,427,258,93,137,28,169,146,22,1,0,0
S01006524,314,314,196,126,58,12,118,107,5,6,0,0
S01006525,339,339,300,189,48,63,39,36,3,0,0,0
S01006526,439,439,218,10,74,134,221,216,3,2,0,0
S01006527,286,286,242,12,139,91,44,43,1,0,0,0
S01006528,433,433,303,9,139,155,130,123,7,0,0,0
S01006529,496,496,118,7,81,30,378,362,15,1,0,0
S01006530,356,356,176,4,110,62,180,176,3,1,0,0
S01006531,429,429,156,8,62,86,273,264,8,1,0,0
S01006532,337,337,243,43,156,44,94,83,11,0,0,0
S01006533,305,305,243,54,97,92,62,38,23,1,0,0
S01006534,398,398,251,51,110,90,147,103,44,0,0,0
S01006535,564,564,145,20,67,58,419,381,37,1,0,0
S01006536,589,587,107,7,38,62,480,411,65,4,0,2
S01006537,341,341,317,66,216,35,24,20,4,0,0,0
S01006538,240,240,233,64,144,25,7,7,0,0,0,0
S01006539,330,330,265,21,205,39,65,60,5,0,0,0
S01006540,451,451,324,34,270,20,127,118,4,5,0,0
S01006541,392,392,313,35,240,38,79,67,10,2,0,0
S01006542,496,496,367,104,258,5,129,129,0,0,0,0
S01006543,363,363,356,12,333,11,7,7,0,0,0,0
S01006544,507,499,269,112,102,55,230,217,11,2,0,8
S01006545,586,586,303,75,164,64,283,274,9,0,0,0
S01006546,262,262,248,57,188,3,14,14,0,0,0,0
S01006547,442,442,303,163,40,100,139,133,6,0,0,0
S01006548,312,312,309,24,283,2,3,3,0,0,0,0
S01006549,366,366,303,163,131,9,63,61,2,0,0,0
S01006550,389,389,381,145,227,9,7,5,2,0,1,0
S01006551,392,392,188,42,39,107,204,195,7,2,0,0
S01006552,417,417,316,87,147,82,101,101,0,0,0,0
S01006553,407,407,335,163,82,90,72,70,1,1,0,0
S01006554,330,330,189,64,79,46,141,135,2,4,0,0
S01006555,374,374,117,12,56,49,257,257,0,0,0,0
S01006556,399,399,220,9,71,140,179,171,6,2,0,0
S01006557,338,338,179,14,45,120,159,158,1,0,0,0
S01006558,354,354,110,4,18,88,244,209,35,0,0,0
S01006559,272,268,127,13,61,53,141,99,39,3,0,4
S01006560,432,429,237,47,108,82,192,145,44,3,0,3
S01006561,323,323,237,38,121,78,86,59,27,0,0,0
S01006562,334,334,235,77,98,60,99,91,8,0,0,0
S01006563,366,366,197,25,99,73,169,136,32,1,0,0
S01006564,578,578,34,10,7,17,544,528,10,6,0,0
S01006565,565,565,24,1,5,18,541,513,26,2,0,0
S01006566,437,435,80,7,28,45,355,289,66,0,0,2
S01006567,552,552,25,6,13,6,527,482,39,6,0,0
S01006568,575,575,34,5,20,9,541,502,32,7,0,0
S01006569,311,311,80,3,21,56,231,187,40,4,0,0
S01006570,371,371,154,27,95,32,217,179,35,3,0,0
S01006571,427,427,185,12,31,142,242,158,73,11,0,0
S01006572,374,374,284,212,58,14,90,53,36,1,0,0
S01006573,290,290,183,17,102,64,107,62,45,0,0,0
S01006574,427,427,225,72,85,68,202,115,85,2,0,0
S01006575,399,399,222,30,119,73,177,124,51,2,0,0
S01006576,325,325,172,17,120,35,153,120,31,2,0,0
S01006577,430,428,101,10,40,51,327,297,29,1,0,2
S01006578,633,627,58,4,12,42,569,533,33,3,0,6
S01006579,640,640,20,3,10,7,620,608,9,3,0,0
S01006580,422,420,71,9,12,50,349,296,51,2,0,2
S01006581,402,402,264,67,135,62,138,111,27,0,0,0
S01006582,466,466,35,2,9,24,431,392,31,8,0,0
S01006583,404,404,10,1,4,5,394,391,2,1,0,0
S01006584,354,354,35,3,11,21,319,266,49,4,0,0
S01006585,465,465,17,1,7,9,448,416,15,17,0,0
S01006586,650,648,40,10,9,21,608,528,42,38,0,2
S01006587,318,318,16,1,8,7,302,270,19,13,0,0
S01006588,338,338,9,3,5,1,329,293,5,31,0,0
S01006589,367,367,11,1,5,5,356,329,10,17,0,0
S01006590,379,379,30,8,10,12,349,298,48,3,0,0
S01006591,367,367,38,2,10,26,329,308,20,1,0,0
S01006592,374,374,76,11,34,31,298,270,28,0,0,0
S01006593,411,411,57,6,8,43,352,299,47,6,2,0
S01006594,345,345,60,6,41,13,285,276,6,3,0,0
S01006595,555,551,58,7,17,34,493,477,15,1,0,4
S01006596,359,359,97,12,32,53,262,218,44,0,0,0
S01006597,352,350,15,2,6,7,335,315,18,2,0,2
S01006598,435,435,276,39,162,75,159,106,53,0,0,0
S01006599,499,499,61,13,29,19,438,426,10,2,0,0
S01006600,587,587,217,17,107,93,370,351,17,2,0,0
S01006601,572,570,214,6,146,62,356,324,31,1,0,2
S01006602,414,412,193,59,67,67,219,180,38,1,0,2
S01006603,385,385,200,15,57,128,185,180,3,2,0,0
S01006604,291,291,249,3,67,179,42,42,0,0,0,0
S01006605,409,409,128,14,51,63,281,276,4,1,0,0
S01006606,390,390,243,39,193,11,147,144,0,3,0,0
S01006607,385,385,213,7,83,123,171,169,0,2,1,0
S01006608,284,284,274,188,80,6,9,6,3,0,1,0
S01006609,490,490,377,14,112,251,113,112,0,1,0,0
S01006610,212,212,135,3,38,94,77,77,0,0,0,0
S01006611,425,425,288,8,98,182,136,134,1,1,1,0
S01006612,373,373,328,87,71,170,45,43,2,0,0,0
S01006613,259,259,196,127,62,7,63,62,1,0,0,0
S01006614,265,265,256,66,133,57,9,7,1,1,0,0
S01006615,270,270,262,191,57,14,8,8,0,0,0,0
S01006616,337,337,253,80,130,43,84,82,2,0,0,0
S01006617,297,297,278,112,78,88,18,18,0,0,1,0
S01006618,246,246,210,77,119,14,36,35,1,0,0,0
S01006619,372,372,333,75,71,187,38,37,1,0,1,0
S01006620,390,390,352,36,127,189,38,37,1,0,0,0
S01006621,235,235,206,9,57,140,29,29,0,0,0,0
S01006622,292,292,231,30,112,89,61,61,0,0,0,0
S01006623,359,355,115,27,69,19,229,217,12,0,11,4
S01006624,481,480,94,6,55,33,386,363,22,1,0,1
S01006625,288,288,122,4,90,28,166,152,13,1,0,0
S01006626,377,377,46,5,38,3,331,324,6,1,0,0
S01006627,511,511,33,8,14,11,478,443,30,5,0,0
S01006628,635,629,31,3,6,22,598,565,24,9,0,6
S01006629,315,315,96,11,65,20,219,214,4,1,0,0
S01006630,256,256,126,4,72,50,130,130,0,0,0,0
S01006631,493,488,125,19,49,57,362,337,19,6,1,5
S01006632,423,423,23,3,11,9,400,394,6,0,0,0
S01006633,288,288,159,12,60,87,129,126,3,0,0,0
S01006634,291,291,102,9,34,59,189,183,4,2,0,0
S01006635,289,289,102,4,38,60,187,173,13,1,0,0
S01006636,386,386,42,1,19,22,344,342,2,0,0,0
S01006637,413,413,93,14,7,72,320,296,16,8,0,0
S01006638,504,497,25,1,13,11,472,438,34,0,0,7
S01006639,592,589,28,5,10,13,560,530,17,13,1,3
S01006640,376,376,8,2,3,3,368,361,7,0,0,0
S01006641,602,600,37,7,3,27,563,545,18,0,0,2
S01006642,492,490,22,9,8,5,468,438,22,8,0,2
S01006643,419,419,17,5,2,10,402,377,25,0,0,0
S01006644,553,553,16,3,8,5,537,535,2,0,0,0
S01006645,393,393,9,3,1,5,384,373,7,4,0,0
S01006646,340,340,10,3,1,6,330,293,12,25,0,0
S01006647,341,341,18,2,5,11,323,316,6,1,0,0
S01006648,651,639,13,3,7,3,626,578,25,23,0,12
S01006649,583,581,13,3,3,7,568,550,16,2,0,2
S01006650,481,481,41,4,22,15,440,378,61,1,0,0
S01006651,382,380,23,8,8,7,357,318,30,9,0,2
S01006652,308,306,16,5,7,4,290,274,11,5,0,2
S01006653,296,296,76,10,51,15,220,199,21,0,0,0
S01006654,504,504,48,7,15,26,456,440,16,0,0,0
S01006655,334,332,81,1,18,62,251,217,34,0,0,2
S01006656,524,524,49,12,20,17,475,420,54,1,0,0
S01006657,286,286,19,3,6,10,266,245,18,3,1,0
S01006658,525,523,28,5,11,12,495,449,46,0,0,2
S01006659,287,287,88,11,54,23,199,115,84,0,0,0
S01006660,247,247,8,4,3,1,239,220,18,1,0,0
S01006661,301,299,119,7,57,55,180,157,23,0,0,2
S01006662,285,281,38,2,11,25,243,234,9,0,0,4
S01006663,245,245,88,11,15,62,157,121,34,2,0,0
S01006664,237,237,54,13,27,14,183,162,20,1,0,0
S01006665,316,316,60,8,35,17,256,226,29,1,0,0
S01006666,499,499,21,5,9,7,478,469,7,2,0,0
S01006667,447,447,12,3,8,1,435,431,3,1,0,0
S01006668,413,413,4,0,1,3,409,400,8,1,0,0
S01006669,444,444,74,20,25,29,370,328,38,4,0,0
S01006670,347,347,6,0,4,2,341,331,9,1,0,0
S01006671,233,233,54,21,13,20,179,163,15,1,0,0
S01006672,366,362,75,18,28,29,287,278,8,1,0,4
S01006673,367,367,66,28,19,19,301,291,8,2,0,0
S01006674,544,544,18,8,5,5,526,524,1,1,0,0
S01006675,315,313,22,1,8,13,291,290,1,0,0,2
S01006676,358,358,114,5,52,57,244,234,7,3,0,0
S01006677,398,398,96,3,25,68,302,298,3,1,0,0
S01006678,525,525,163,15,58,90,362,359,2,1,0,0
S01006679,315,315,237,30,131,76,78,68,9,1,0,0
S01006680,416,416,59,9,12,38,357,353,4,0,0,0
S01006681,464,464,83,8,33,42,381,378,3,0,0,0
S01006682,384,382,39,9,16,14,343,332,11,0,0,2
S01006683,370,370,63,2,53,8,307,300,6,1,0,0
S01006684,401,401,62,17,26,19,339,306,24,9,0,0
S01006685,427,425,27,6,14,7,398,391,6,1,0,2
S01006686,305,305,20,4,5,11,285,285,0,0,0,0
S01006687,419,419,20,3,12,5,399,397,2,0,0,0
S01006688,510,510,233,20,156,57,277,274,3,0,0,0
S01006689,288,288,137,33,46,58,151,135,15,1,0,0
S01006690,308,308,56,3,22,31,252,241,9,2,0,0
S01006691,271,271,76,27,39,10,195,165,29,1,0,0
S01006692,361,361,183,16,112,55,178,134,43,1,0,0
S01006693,497,490,81,30,31,20,409,349,60,0,0,7
S01006694,480,480,97,1,16,80,383,381,2,0,0,0
S01006695,346,346,252,6,85,161,94,94,0,0,0,0
S01006696,390,390,156,2,24,130,234,231,3,0,0,0
S01006697,435,435,202,27,68,107,232,227,5,0,1,0
S01006698,409,409,60,2,11,47,349,349,0,0,0,0
S01006699,209,209,106,6,75,25,103,103,0,0,0,0
S01006700,431,431,189,59,55,75,242,235,7,0,0,0
S01006701,321,321,176,3,48,125,145,143,2,0,0,0
S01006702,332,332,318,5,99,214,14,14,0,0,0,0
S01006703,301,301,201,9,63,129,100,100,0,0,0,0
S01006704,301,301,115,4,24,87,186,186,0,0,0,0
S01006705,364,364,279,5,56,218,85,81,3,1,0,0
S01006706,272,272,201,8,61,132,71,69,2,0,0,0
S01006707,311,311,172,9,35,128,139,137,2,0,0,0
S01006708,364,364,310,9,97,204,54,54,0,0,0,0
S01006709,376,376,286,11,114,161,90,90,0,0,0,0
S01006710,415,415,379,6,121,252,36,35,0,1,0,0
S01006711,511,511,324,6,84,234,187,184,3,0,0,0
S01006712,250,250,245,11,63,171,5,5,0,0,0,0
S01006713,420,420,338,5,88,245,82,81,1,0,0,0
S01006714,304,304,220,6,112,102,84,84,0,0,0,0
S01006715,218,218,161,10,68,83,57,56,1,0,0,0
S01006716,242,242,207,9,114,84,35,35,0,0,0,0
S01006717,445,445,367,10,85,272,78,74,2,2,0,0
S01006718,248,248,233,8,187,38,15,14,1,0,0,0
S01006719,350,350,341,8,142,191,9,9,0,0,0,0
S01006720,242,242,226,3,61,162,16,16,0,0,0,0
S01006721,386,386,338,5,135,198,48,48,0,0,0,0
S01006722,312,312,264,11,67,186,48,47,1,0,0,0
S01006723,283,283,272,8,105,159,11,10,1,0,0,0
S01006724,343,343,145,4,70,71,198,194,3,1,0,0
S01006725,265,265,219,9,88,122,46,46,0,0,0,0
S01006726,505,501,109,17,66,26,389,382,7,0,3,4
S01006727,395,393,138,10,73,55,255,255,0,0,0,2
S01006728,334,334,212,2,87,123,122,121,0,1,0,0
S01006729,349,349,111,7,88,16,238,235,3,0,0,0
S01006730,276,276,247,7,43,197,29,29,0,0,0,0
S01006731,257,257,163,2,28,133,94,93,1,0,0,0
S01006732,353,353,313,244,59,10,27,14,13,0,13,0
S01006733,309,309,304,233,66,5,5,4,0,1,0,0
S01006734,352,352,326,187,133,6,26,25,0,1,0,0
S01006735,245,245,242,187,32,23,3,3,0,0,0,0
S01006736,395,395,384,199,171,14,11,10,1,0,0,0
S01006737,265,265,258,159,81,18,7,7,0,0,0,0
S01006738,453,453,97,48,30,19,313,280,30,3,43,0
S01006739,309,309,157,24,48,85,127,113,13,1,25,0
S01006740,335,335,291,9,135,147,44,42,2,0,0,0
S01006741,342,342,327,8,64,255,15,14,1,0,0,0
S01006742,233,233,223,4,27,192,10,9,1,0,0,0
S01006743,271,271,178,29,115,34,93,87,6,0,0,0
S01006744,302,302,125,22,50,53,177,133,43,1,0,0
S01006745,409,409,189,30,62,97,220,205,14,1,0,0
S01006746,350,350,329,8,224,97,21,18,2,1,0,0
S01006747,368,368,352,14,286,52,16,9,2,5,0,0
S01006748,408,408,309,152,89,68,99,88,9,2,0,0
S01006749,419,419,286,43,108,135,133,132,1,0,0,0
S01006750,292,292,225,19,128,78,67,66,0,1,0,0
S01006751,241,241,156,26,89,41,83,77,5,1,2,0
S01006752,339,339,241,10,146,85,96,96,0,0,2,0
S01006753,410,410,338,120,166,52,72,59,12,1,0,0
S01006754,400,400,338,122,186,30,62,61,1,0,0,0
S01006755,289,289,235,120,108,7,51,50,0,1,3,0
S01006756,286,286,140,79,18,43,146,143,3,0,0,0
S01006757,343,343,282,73,179,30,61,60,1,0,0,0
S01006758,318,318,238,104,130,4,80,78,2,0,0,0
S01006759,251,251,225,114,104,7,26,26,0,0,0,0
S01006760,235,235,178,25,68,85,57,52,5,0,0,0
S01006761,334,334,271,97,145,29,63,63,0,0,0,0
S01006762,416,416,367,114,193,60,49,47,2,0,0,0
S01006763,334,334,327,54,158,115,7,5,2,0,0,0
S01006764,345,345,295,36,175,84,50,49,1,0,0,0
S01006765,273,273,192,39,117,36,81,79,2,0,0,0
S01006766,240,240,220,143,54,23,20,20,0,0,0,0
S01006767,283,283,277,82,88,107,6,6,0,0,0,0
S01006768,212,212,209,189,19,1,3,3,0,0,0,0
S01006769,392,392,380,82,164,134,12,12,0,0,0,0
S01006770,273,273,269,62,197,10,4,4,0,0,0,0
S01006771,150,150,147,80,64,3,3,3,0,0,0,0
S01006772,375,375,303,64,233,6,72,70,2,0,0,0
S01006773,255,255,252,78,171,3,3,3,0,0,0,0
S01006774,221,221,216,100,114,2,5,5,0,0,0,0
S01006775,319,319,170,21,76,73,149,141,8,0,0,0
S01006776,271,271,148,4,102,42,123,119,4,0,0,0
S01006777,262,262,259,80,172,7,3,3,0,0,0,0
S01006778,287,287,260,41,172,47,27,27,0,0,0,0
S01006779,293,293,203,10,79,114,90,84,6,0,0,0
S01006780,254,254,231,34,98,99,23,16,7,0,0,0
S01006781,295,295,277,25,209,43,18,18,0,0,0,0
S01006782,341,341,231,113,83,35,110,108,2,0,0,0
S01006783,299,299,257,17,200,40,41,41,0,0,1,0
S01006784,302,302,199,40,139,20,103,100,2,1,0,0
S01006785,223,223,197,102,86,9,26,26,0,0,0,0
S01006786,339,339,279,121,140,18,60,58,2,0,0,0
S01006787,281,281,278,82,116,80,3,2,1,0,0,0
S01006788,302,302,247,94,118,35,33,29,0,4,22,0
S01006789,290,290,246,144,78,24,44,39,1,4,0,0
S01006790,444,444,394,167,163,64,50,42,3,5,0,0
S01006791,253,253,235,199,30,6,16,14,2,0,2,0
